Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%
Maria,0.1,Jose,0.0434783,Maria,0.01667,Jose,0.035714,Maria,0.05556,Maria,0.052632,Maria,0.0769231,Maria,0.05263,Jose,0.02632,Maria,0.09091,Maria,0.0625,Maria,0.03125,Maria,0.0526316,Maria,0.071429,Maria,0.06667,Maria,0.0526316,Maria,0.04,Maria,0.0833333,Jose,0.055556
Jose,0.047619,Carmen,0.0333333,Luis,0.01587,Maria,0.025641,Jose,0.03846,Jose,0.035714,Jose,0.0666667,Jose,0.04348,Maria,0.02083,Jose,0.08333,Juan,0.03125,Juan,0.02083,Juan,0.0294118,Jose,0.047619,Jose,0.03571,Juan,0.0238095,Jose,0.025,Juan,0.0232558,Maria,0.047619
Juan,0.025641,Gladys,0.0277778,Roberto,0.01449,Juan,0.02439,Luis,0.02439,Juan,0.029412,Santos,0.0204082,Juan,0.02174,Luis,0.01724,Ana,0.03571,Jose,0.02439,Jose,0.01639,Jose,0.0277778,Luis,0.033333,Luis,0.03333,Jose,0.0151515,Juan,0.02128,Jose,0.0232558,Luis,0.02381
Luis,0.012658,Maria,0.025,Jose,0.01351,Ana,0.016129,Ana,0.02273,Carlos,0.019231,Juan,0.0196078,Luis,0.01316,Carlos,0.01266,Juan,0.02222,Carlos,0.02083,Luis,0.0125,Luis,0.0263158,Luz,0.028571,Carlos,0.02083,Carlos,0.012987,Luis,0.01587,Carlos,0.0212766,Carmen,0.018868
Francisco,0.011364,Nydia,0.0243902,Caridad,0.01299,Luis,0.016129,Carlos,0.02083,Luis,0.013889,Carlos,0.015625,Carlos,0.01266,Juan,0.01136,Rosa,0.02128,Jorge,0.01587,Carlos,0.01205,Carlos,0.015873,Ana,0.020408,Rosa,0.01724,Pedro,0.0102041,Rosa,0.01408,Luis,0.0204082,Carlos,0.016393
Jesus,0.011236,Zulma,0.0212766,Rafael,0.0125,Rafael,0.015152,Juan,0.01724,Francisco,0.013699,Luis,0.0108696,Francisco,0.01205,Jorge,0.00909,Carlos,0.01923,Luis,0.01389,Mario,0.00781,Jorge,0.0133333,Carlos,0.017857,Juan,0.01695,Francisco,0.0098039,Carlos,0.0119,Ana,0.0181818,Ana,0.014706
Ana,0.010417,Jorge,0.0181818,Manuel,0.0122,Ramon,0.0125,Jorge,0.01316,Pedro,0.013514,Rosa,0.0107527,Ana,0.01163,Ana,0.0082,Luis,0.01205,Miguel,0.01136,Jorge,0.00775,Ana,0.0120482,Juan,0.014286,Jorge,0.01538,Luis,0.0096154,Jorge,0.01,Jorge,0.0151515,Juan,0.014706
Rosa,0.010101,Hector,0.0172414,Ramon,0.01149,Francisco,0.011236,Victor,0.00758,Ana,0.012987,Ana,0.0105263,Juana,0.01136,Ricardo,0.00606,Santos,0.0119,Ana,0.01075,Juana,0.00758,Rosa,0.0114943,Jorge,0.013333,Segundo,0.01333,Jorge,0.009009,Victor,0.00971,Julio,0.0107527,Jesus,0.013889
Jorge,0.01,Luis,0.0166667,Carlos,0.01099,Carlos,0.01087,Gerardo,0.00704,Santos,0.012821,Oscar,0.0090909,Rosa,0.01124,Rosa,0.00571,Blanca,0.01149,Hector,0.01075,Victor,0.0073,Manuel,0.0103093,Martha,0.010309,Angel,0.0125,Miguel,0.0080645,Carmen,0.0084,Pablo,0.0104167,Pedro,0.009709
Miguel,0.009804,Gilberto,0.0153846,Antonio,0.01087,Manuel,0.010526,Rafael,0.00694,Juana,0.012048,Jorge,0.0084746,Santos,0.01031,Manuel,0.00568,Oscar,0.01111,Ramon,0.0102,Ana,0.00714,Cristian,0.0096154,Sandra,0.009804,Manuel,0.01235,Victor,0.0079365,Juana,0.00813,Ruben,0.0084034,Rosa,0.008197
Carlos,0.009174,Carlos,0.0149254,Alberto,0.01087,Carmen,0.009174,Mario,0.00629,Manuel,0.011494,Francisco,0.0065789,Martha,0.0099,Roberto,0.00518,Manuel,0.01,Silvia,0.00901,Martha,0.00699,Victor,0.009434,Gloria,0.009346,Ana,0.01064,Ramon,0.0075188,Pedro,0.00741,Walter,0.0081301,Rafael,0.007407
Juana,0.00813,Victor,0.0147059,Jorge,0.01031,Rosa,0.00885,Oscar,0.00617,Jorge,0.010638,Juana,0.0063694,Pedro,0.00893,Francisco,0.00513,Marta,0.01,Rosa,0.00901,Carmen,0.00602,Francisco,0.0088496,Blanca,0.009009,Carmen,0.0102,Julio,0.0068027,Julio,0.00741,Miguel,0.0079365,Angel,0.006623
Martha,0.007874,Joseph,0.0147059,Juan,0.01,Miguel,0.008772,Manuel,0.00617,Miguel,0.010417,Miguel,0.0062112,Julio,0.00676,Victor,0.00495,Jorge,0.00935,Roberto,0.00885,Rosa,0.00588,Hector,0.008,Rosa,0.008772,Victor,0.00877,Juana,0.0066225,Santos,0.0069,Fernando,0.0072993,Francisco,0.006369
Guadalupe,0.007874,Nilda,0.0136986,Francisco,0.0099,Pedro,0.008696,Carmen,0.00556,Rosa,0.009804,Hector,0.0059524,Manuel,0.00599,Miguel,0.00483,Miguel,0.00926,Oscar,0.00855,Miguel,0.00588,Patricia,0.007874,Carmen,0.008547,Martha,0.00746,Oscar,0.0064516,Cesar,0.0068,Hector,0.0072464,Miguel,0.00625
Pedro,0.006667,Juan,0.0136986,Pedro,0.0099,Juana,0.006757,Miguel,0.00546,Mario,0.009346,Manuel,0.0056818,Jorge,0.00565,Carmen,0.00442,Francisco,0.00893,Daniel,0.00826,Vda,0.00581,Sergio,0.0078125,Pedro,0.007463,Pedro,0.00719,Mario,0.0060241,Manuel,0.00676,Daniel,0.0071942,Jorge,0.006024
Manuel,0.006494,Miguel,0.0126582,Mercedes,0.0098,Altagracia,0.006623,Francisco,0.00518,Marta,0.007407,Mario,0.005618,Oscar,0.00524,Eduardo,0.00433,Sandra,0.00769,Norma,0.00813,Pedro,0.00541,Pedro,0.0077519,Jesus,0.007246,Blanca,0.00685,Antonio,0.005814,Ana,0.00662,Eduardo,0.0071429,Ramon,0.00578
Victor,0.006452,Yolanda,0.010989,Raul,0.0087,Julio,0.006098,Rosa,0.00488,Victor,0.006897,Pedro,0.005618,Miguel,0.00521,Javier,0.00418,Julio,0.00725,Marta,0.00794,Antonio,0.00529,Claudia,0.0075188,Jhon,0.006757,Miguel,0.00649,Ana,0.0057803,Miguel,0.00625,Diego,0.0070423,Victor,0.005587
Antonio,0.006024,Angel,0.0102041,Miguel,0.00862,Mercedes,0.006024,Marco,0.00476,Edgar,0.006803,Gloria,0.0053476,Reyna,0.00495,Edwin,0.00391,Juana,0.00676,Mario,0.00781,Fernando,0.00524,Carolina,0.0074074,Diana,0.006536,Julio,0.00649,Hugo,0.0056818,Julia,0.0061,Blanca,0.006993,Manuel,0.005263
Alejandro,0.005618,Edwin,0.0093458,Orlando,0.00794,Angel,0.005618,Laura,0.00469,Domingo,0.006579,Blanca,0.005291,Marvin,0.00478,Daniel,0.00369,Mario,0.00676,Claudia,0.00763,Roberto,0.00518,Rodrigo,0.0072464,Oscar,0.006452,Cesar,0.00625,Rosa,0.0054945,Jesus,0.00585,Mario,0.0069444,Antonio,0.004854
Margarita,0.005348,Sonia,0.0091743,Rolando,0.00787,Felix,0.005464,Marta,0.00442,Julio,0.006289,Reina,0.0051546,Mario,0.00465,Julio,0.00364,Pedro,0.00613,Pedro,0.00741,Felix,0.00508,Miguel,0.0070922,Manuel,0.006452,Francisco,0.00571,Blanca,0.0053763,Luz,0.00568,Gustavo,0.0068027,Julio,0.004367
Mario,0.005319,Raul,0.0091743,Isabel,0.00769,Victor,0.005405,Flor,0.00439,Tomas,0.005917,Sandra,0.0051546,Karla,0.00455,Pedro,0.00361,Sonia,0.00606,Ricardo,0.00714,Julio,0.00498,Eduardo,0.0066225,Claudia,0.006369,Diana,0.00565,Ramona,0.0053763,Segundo,0.00535,Silvia,0.0068027,Hector,0.004032
Roberto,0.005263,Pedro,0.0086957,Jesus,0.00758,Antonio,0.004673,Ronald,0.0042,Oscar,0.005747,Norma,0.0047619,Roberto,0.00415,Cesar,0.00346,Claudia,0.00585,Graciela,0.00714,Julia,0.00493,Patricio,0.0065789,Jaime,0.005714,Monica,0.00556,Cesar,0.0053763,Francisco,0.00463,Gladys,0.0064103,Daniel,0.003731
Claudia,0.004926,Ivan,0.008,Rosa,0.00741,Hector,0.004566,Alvaro,0.0041,Santiago,0.00565,Victor,0.0045872,Blanca,0.00403,Elizabeth,0.00334,Victor,0.00578,Raul,0.00704,Rene,0.00488,Claudio,0.00625,Hector,0.005587,Gloria,0.00549,Carmen,0.0051546,Victoria,0.00415,Hugo,0.0064103,Juana,0.003704
Laura,0.004831,Irma,0.0078125,Eduardo,0.00735,Jorge,0.004329,Alexander,0.00408,Antonio,0.005495,Marco,0.0045455,Francisca,0.00398,Alberto,0.00329,Reina,0.00565,Pablo,0.00699,Javier,0.00488,Mario,0.0060241,Miguel,0.005525,Jaime,0.00529,Francisca,0.0046948,Alejandro,0.00383,Roberto,0.0061728,Edgar,0.00369
Ricardo,0.00463,Yesenia,0.0074627,Angel,0.00725,Rosario,0.003953,Xinia,0.00405,Blanca,0.005376,Martha,0.0045455,Angela,0.00372,Hector,0.00323,Roberto,0.00549,Eduardo,0.00694,Angel,0.00488,Jaime,0.0057803,Olga,0.005319,Marco,0.00521,Norma,0.0046296,Elizabeth,0.0037,Sergio,0.0061728,Luisa,0.003472
Fernando,0.004545,Elliot,0.0074074,Barbara,0.0068,Luz,0.003891,William,0.00403,Pablo,0.005128,Angel,0.0042373,Felix,0.00365,Alexis,0.00322,Gloria,0.00541,Sergio,0.00685,Alberto,0.00478,Ricardo,0.005618,Jairo,0.005263,Luz,0.00483,Gladys,0.0046296,Oscar,0.00362,Oscar,0.006135,Cesar,0.00346
Javier,0.004386,Wilfredo,0.0072464,Teresa,0.00676,Roberto,0.003876,Andrea,0.00398,Hector,0.005076,Iris,0.0042017,Pablo,0.00356,David,0.00319,Silvia,0.00508,Marcelo,0.00676,David,0.00467,Pablo,0.0054945,Julio,0.005236,Wilson,0.00469,Gustavo,0.0046083,Walter,0.0035,Marcelo,0.005814,Oscar,0.003356
Sergio,0.004367,Rafael,0.006993,Margarita,0.00676,Maria,0.003788,Marvin,0.00397,Cesar,0.004854,Julio,0.0041841,Gloria,0.00352,Eric,0.00313,Rafael,0.00495,Julio,0.00676,Freddy,0.00457,Alejandro,0.0053191,Victor,0.00495,Gladys,0.00465,Gloria,0.0045045,Felix,0.00346,Laura,0.005618,Nelson,0.003344
Martin,0.004367,Lorenzo,0.0069444,Martha,0.00658,Domingo,0.003759,Adriana,0.00386,Irma,0.004831,Karla,0.003937,Victor,0.0035,Rafael,0.00304,Edwin,0.00465,Monica,0.00667,Elizabeth,0.00448,Margarita,0.0053191,Rafael,0.004587,Nancy,0.00457,Roberto,0.0043103,Margarita,0.00339,Andrea,0.0054945,Gladys,0.003322
Veronica,0.004219,Nancy,0.0068966,Armando,0.00641,Ramona,0.003546,Eduardo,0.00385,Roberto,0.004785,Marvin,0.0038911,Mercedes,0.00344,Angel,0.00295,Teresa,0.00463,Hugo,0.00662,Oscar,0.00435,Carmen,0.005291,Alba,0.004505,Sandra,0.00439,Mirian,0.0042194,Raul,0.00336,Sandra,0.0052632,Luz,0.003257
Oscar,0.004149,Viter,0.0066225,Maritza,0.00629,Jesus,0.003448,Olga,0.0037,Sandra,0.004717,Alba,0.0038462,Alba,0.00342,Ruben,0.00287,Ricardo,0.00442,Alberto,0.00658,Hugo,0.00431,Daniel,0.005291,Flor,0.004464,Veronica,0.00433,Graciela,0.0041494,Javier,0.00334,Alejandro,0.0052632,Eduardo,0.003205
Hector,0.004149,Gerardo,0.0060606,Lazaro,0.00617,Angela,0.003425,Karla,0.0037,Marco,0.004405,Ramon,0.0038168,Marlon,0.00341,Fernando,0.00287,Jesus,0.00439,Ruben,0.00654,Daniel,0.00424,Felipe,0.0050251,Alvaro,0.004367,Edgar,0.00418,Ruben,0.004065,David,0.00324,Susana,0.0051546,Freddy,0.003003
Daniel,0.004149,Mario,0.0060241,Juana,0.00602,Andres,0.003367,Elizabeth,0.00369,Aura,0.00431,Jesus,0.003663,Jairo,0.0033,Mario,0.00285,Dora,0.00439,Gustavo,0.00649,Cristina,0.00422,Juana,0.005,Francisco,0.004367,Diego,0.00407,Lidia,0.0040486,Flor,0.00323,Graciela,0.005102,Alexander,0.003003
Raul,0.003953,Frank,0.0059524,Enrique,0.00602,Daniel,0.003135,David,0.00361,Alberto,0.004219,Karen,0.0036496,Luz,0.0033,Jaime,0.0028,Nelson,0.00427,Susana,0.00613,Francisco,0.00418,Marcela,0.0049751,Javier,0.004132,Mariana,0.00405,Liz,0.003937,Mario,0.00322,Adriana,0.0050505,Nancy,0.002959
Eduardo,0.003953,Felix,0.005618,Nancy,0.00559,Nelson,0.003049,Daniel,0.0036,Carmen,0.004202,Olga,0.0036364,Sandra,0.00313,Raul,0.00279,Carmen,0.00417,Antonio,0.00602,Lidia,0.00413,Roberto,0.0049261,Gustavo,0.003704,Jenny,0.00405,Pablo,0.0039216,Roberto,0.00317,Ricardo,0.0049505,Javier,0.002725
Teresa,0.003937,Josue,0.0050251,Julio,0.00556,Fernando,0.00304,Jonathan,0.00357,Gloria,0.004167,Wilmer,0.0036101,Fatima,0.00312,Antonio,0.00269,David,0.00417,Mirta,0.00595,Patricia,0.00402,Daniela,0.0049261,William,0.003663,Pablo,0.00403,Edgar,0.0039216,Isabel,0.00316,Claudia,0.0049261,Richard,0.00271
Blanca,0.003922,Ana,0.005,Ricardo,0.00552,Cesar,0.002985,Karen,0.00351,Ricardo,0.004149,Carmen,0.0035211,Claudia,0.00309,Gabriel,0.00265,Hector,0.00413,Victor,0.00578,Sonia,0.004,Sandra,0.0048309,Wilson,0.00361,Edison,0.004,Angel,0.0039063,Gloria,0.00307,Nelson,0.0049261,Felix,0.002591
Silvia,0.003846,Milagros,0.005,Ernesto,0.00552,Elizabeth,0.002907,Silvia,0.0035,Sebastian,0.004115,Nelson,0.0034247,Denis,0.00308,Edgar,0.00262,Salvador,0.00413,Alicia,0.00578,Edwin,0.00398,Fernando,0.0047847,Edgar,0.003571,Silvia,0.00397,Sonia,0.0038911,Antonio,0.003,Olga,0.0047393,Pablo,0.002558
Rafael,0.003788,Aurea,0.0048309,Alfredo,0.00552,Margarita,0.002801,Sandra,0.00344,Olga,0.004098,Claudia,0.003413,Ramon,0.003,Katherine,0.0026,Vilma,0.00408,Francisco,0.00565,Eduardo,0.00395,Mauricio,0.0047847,John,0.003571,Hector,0.00395,Alberto,0.0036364,Pablo,0.003,Alicia,0.0046512,Alexis,0.002551
Gloria,0.003774,Jacqueline,0.004717,Felix,0.00538,Pablo,0.002681,Sonia,0.00336,Francisca,0.004082,Doris,0.0033333,Roger,0.00287,Diana,0.00254,Mirna,0.00394,Diego,0.00559,Isabel,0.00394,Oscar,0.0047393,Nelson,0.003448,Mercedes,0.00394,Nancy,0.003413,Edwin,0.00297,Monica,0.0046296,Elizabeth,0.002525
David,0.003745,Ricardo,0.0046729,Miriam,0.00529,Josefina,0.002646,Ricardo,0.00329,Margarita,0.003922,Edwin,0.0033333,Carmen,0.00279,Luz,0.00242,Rene,0.00388,Patricia,0.00552,Raul,0.00392,Veronica,0.0046948,Orlando,0.003356,Zoila,0.0038,Teresa,0.0032787,Martha,0.00294,Alvaro,0.0046083,Orlando,0.002475
Norma,0.003717,Norma,0.0045872,Mario,0.0049,Alejandro,0.002525,Katherine,0.00329,Silvia,0.003891,Marta,0.003125,Alvaro,0.00279,Maritza,0.00239,Mauricio,0.00358,Nelida,0.0051,Silvia,0.00391,Raul,0.0044053,Cesar,0.003344,Jessica,0.00376,Ricardo,0.003268,Ricardo,0.00293,Rosa,0.0044843,Gustavo,0.002445
Patricia,0.003636,Alejandro,0.0045455,Rene,0.00488,Mario,0.0025,Kattia,0.00328,Hugo,0.003704,Wendy,0.0030769,Cesar,0.00275,Abdiel,0.00236,Norma,0.00351,Juana,0.00503,Jaime,0.00386,Marcelo,0.0042918,Diego,0.003289,Angela,0.00369,Marta,0.0031949,Gladys,0.00293,Martin,0.0044843,Franklin,0.002439
Arturo,0.00361,Ramonita,0.0044843,Guillermo,0.00485,Francisca,0.002488,Luz,0.00326,Brenda,0.003623,Francisca,0.0030581,Candida,0.00275,Gladys,0.00235,Jaime,0.0035,Liliana,0.005,Victoria,0.00377,Elizabeth,0.0042735,Nancy,0.003236,Ramon,0.00356,Lucia,0.0031949,Daniel,0.00293,Washington,0.0044444,Andres,0.002427
Julio,0.003597,Rosa,0.0044053,Carmen,0.00478,Luisa,0.002457,Edgar,0.00324,Marvin,0.003597,Irma,0.0030395,Maritza,0.00268,Guillermo,0.00235,Francisca,0.00342,Angel,0.005,Elena,0.00377,Cecilia,0.0042735,Alexander,0.003135,Mario,0.00355,Arnaldo,0.0031949,Angel,0.0029,Pedro,0.0043668,Alberto,0.002375
Gerardo,0.003571,Wanda,0.004065,Olga,0.00478,Ricardo,0.002451,Edwin,0.00316,Edwin,0.003584,Sonia,0.0029851,Josefa,0.00258,Alexander,0.00233,Roxana,0.00341,Sandra,0.00495,Edgar,0.00373,Marta,0.0042553,Fernando,0.003135,Vicente,0.00352,Sergio,0.0031949,Mercedes,0.00287,Nestor,0.0042017,Omar,0.002315
Alma,0.003571,Billy,0.0040486,Osvaldo,0.00461,Eduardo,0.002415,Mauricio,0.00309,Manuela,0.003378,Mirian,0.0029762,Aura,0.00255,Juana,0.00228,Walter,0.0034,Alejandro,0.00481,Pablo,0.00362,Sebastian,0.0042373,Adriana,0.003086,Mayra,0.00348,Antonia,0.003125,Edgar,0.00287,Marta,0.0042017,David,0.002315
Leticia,0.003521,Luz,0.0039683,Elena,0.00459,Milagros,0.002392,Fernando,0.00307,Claudia,0.0033,Cesar,0.0029155,William,0.00254,Omar,0.00228,Mercedes,0.00319,Laura,0.00472,Alejandro,0.0036,Monica,0.0041322,Guillermo,0.003049,Laura,0.00347,Andres,0.0030864,Jaime,0.00286,Raul,0.0042017,Maritza,0.002309
Enrique,0.003401,Tommy,0.0039216,Xiomara,0.00455,Alberto,0.002387,Esteban,0.00305,Vicente,0.003279,Vilma,0.002809,Teresa,0.00251,Felix,0.00226,Raul,0.00318,Olga,0.00469,Jesus,0.00356,Guillermo,0.0040161,Liliana,0.002959,Edwin,0.00341,Nelson,0.0030769,Nancy,0.00284,Victor,0.0041841,Aura,0.002288
Sandra,0.00339,Ivette,0.0039063,Andres,0.00452,Franklin,0.002336,Javier,0.00302,Vilma,0.003226,Roberto,0.002681,Silvia,0.00251,Ernesto,0.00225,Karla,0.00318,Andrea,0.00452,Roxana,0.00351,Paola,0.0039683,Rosalba,0.002933,Patricia,0.00336,Alcides,0.0029851,Sonia,0.0028,Leonardo,0.0040984,Ricardo,0.002283
Angel,0.003322,Erick,0.0038911,Yolanda,0.00437,Sandra,0.002262,Michael,0.003,Alejandro,0.003175,Dilcia,0.0026525,Sergio,0.00251,Enrique,0.00221,Marina,0.0031,Claudio,0.00452,Claudia,0.00351,Camila,0.0039526,Marco,0.00289,Eduardo,0.00327,Felix,0.0029674,Marco,0.00278,Andres,0.0039683,Mary,0.002257
Josefina,0.003311,Robin,0.003861,Fernando,0.0042,David,0.002232,Jesus,0.00299,Felipe,0.003058,Mirna,0.0026455,Ricardo,0.0025,Vielka,0.00221,Irma,0.00302,Elsa,0.0045,Virginia,0.00348,Alejandra,0.0038911,Dora,0.002817,Hugo,0.00325,Diego,0.002924,Yolanda,0.0027,Gonzalo,0.0039683,Wilmer,0.002179
Alberto,0.003257,Lucia,0.0038314,Hector,0.0042,Isabel,0.002193,Roberto,0.00298,Martin,0.00303,Melvin,0.002611,Erick,0.00249,Alejandro,0.00219,Daniel,0.003,Walter,0.00446,Teresa,0.00348,Marco,0.0037879,Omar,0.002725,Juana,0.00323,Laura,0.002924,Alberto,0.00268,Alba,0.0037453,Adriana,0.002146
