ZIP,Population,NonHispanic,Hispanic,%Hispanic,Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%,OTHERS,%,Other Central American,%, Other South American,%,Other Hispanic,%,Spaniard,Spanish,Spanish American,All other Hispanic
32003,27126,25384,1742,0.06,332,0.19,625,0.36,204,0.12,54,0.03,21,0.01,15,0.01,11,0.01,14,0.01,42,0.02,14,0.01,10,0.01,5,0.00,20,0.01,99,0.06,40,0.02,6,0.00,26,0.01,3,0.00,12,0.01,189,0.11,0,0.00,8,0.00,181,0.10,66,37,7,71
32008,5309,4914,395,0.07,245,0.62,29,0.07,54,0.14,10,0.03,0,0.00,3,0.01,2,0.01,0,0.00,4,0.01,4,0.01,0,0.00,0,0.00,0,0.00,4,0.01,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,37,0.09,0,0.00,0,0.00,37,0.09,12,4,0,21
32009,3325,3256,69,0.02,23,0.33,23,0.33,5,0.07,7,0.10,0,0.00,0,0.00,0,0.00,1,0.01,2,0.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,8,0.12,0,0.00,0,0.00,8,0.12,1,3,0,4
32011,13854,13522,332,0.02,114,0.34,105,0.32,28,0.08,5,0.02,1,0.00,6,0.02,0,0.00,0,0.00,10,0.03,1,0.00,1,0.00,0,0.00,1,0.00,2,0.01,2,0.01,0,0.00,0,0.00,0,0.00,8,0.02,48,0.14,0,0.00,0,0.00,48,0.14,16,15,1,16
32024,18733,17764,969,0.05,358,0.37,226,0.23,187,0.19,27,0.03,1,0.00,16,0.02,8,0.01,3,0.00,7,0.01,12,0.01,5,0.01,2,0.00,0,0.00,29,0.03,3,0.00,0,0.00,11,0.01,2,0.00,9,0.01,63,0.07,0,0.00,0,0.00,63,0.07,18,7,0,38
32025,22380,21226,1154,0.05,292,0.25,302,0.26,164,0.14,43,0.04,11,0.01,9,0.01,18,0.02,13,0.01,9,0.01,20,0.02,2,0.00,1,0.00,2,0.00,43,0.04,6,0.01,0,0.00,18,0.02,0,0.00,11,0.01,190,0.16,5,0.00,1,0.00,184,0.16,22,13,0,149
32026,1959,1729,230,0.12,56,0.24,37,0.16,48,0.21,1,0.00,0,0.00,3,0.01,5,0.02,6,0.03,1,0.00,1,0.00,0,0.00,1,0.00,1,0.00,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,67,0.29,1,0.00,0,0.00,66,0.29,0,0,0,66
32033,4118,3862,256,0.06,107,0.42,48,0.19,16,0.06,2,0.01,0,0.00,5,0.02,1,0.00,3,0.01,4,0.02,11,0.04,4,0.02,0,0.00,0,0.00,13,0.05,0,0.00,0,0.00,11,0.04,1,0.00,2,0.01,28,0.11,0,0.00,0,0.00,28,0.11,17,1,0,10
32034,31008,29741,1267,0.04,561,0.44,195,0.15,102,0.08,22,0.02,10,0.01,31,0.02,33,0.03,26,0.02,4,0.00,14,0.01,13,0.01,0,0.00,11,0.01,59,0.05,15,0.01,0,0.00,17,0.01,30,0.02,7,0.01,117,0.09,0,0.00,1,0.00,116,0.09,25,25,0,66
32038,9228,8716,512,0.06,122,0.24,134,0.26,111,0.22,2,0.00,4,0.01,3,0.01,12,0.02,3,0.01,2,0.00,16,0.03,11,0.02,1,0.00,10,0.02,28,0.05,3,0.01,0,0.00,6,0.01,0,0.00,2,0.00,42,0.08,0,0.00,1,0.00,41,0.08,8,4,0,29
32040,7604,7492,112,0.02,43,0.38,24,0.21,19,0.17,5,0.04,1,0.01,1,0.01,0,0.00,0,0.00,2,0.02,2,0.02,1,0.01,0,0.00,1,0.01,5,0.04,0,0.00,0,0.00,0,0.00,0,0.00,1,0.01,7,0.06,0,0.00,0,0.00,7,0.06,2,0,0,5
32043,24632,23064,1568,0.06,593,0.38,406,0.26,114,0.07,56,0.04,5,0.00,30,0.02,30,0.02,22,0.01,38,0.02,27,0.02,7,0.00,4,0.00,6,0.00,48,0.03,25,0.02,0,0.00,17,0.01,0,0.00,9,0.01,131,0.08,2,0.00,8,0.01,121,0.08,44,19,1,57
32044,2060,1997,63,0.03,21,0.33,27,0.43,7,0.11,0,0.00,0,0.00,0,0.00,1,0.02,0,0.00,0,0.00,0,0.00,1,0.02,0,0.00,0,0.00,3,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.05,0,0.00,0,0.00,3,0.05,1,0,0,2
