Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%
Hernandez,0.04,Sanchez,0.035714,Rodriguez,0.047619,Rodriguez,0.02439,Rodriguez,0.02273,Lopez,0.045455,Hernandez,0.030303,Lopez,0.03704,Rodriguez,0.03704,Hernandez,0.03846,Gonzalez,0.01515,Mamani,0.03125,Gonzalez,0.020833,Rodriguez,0.018868,Garcia,0.012048,Gonzalez,0.037037,Quispe,0.01818,Rodriguez,0.03125,Gonzalez,0.029412
Garcia,0.028571,Rivera,0.032258,Gonzalez,0.038462,Perez,0.021277,Vargas,0.01961,Perez,0.027778,Lopez,0.027778,Martinez,0.025,Gonzalez,0.03704,Martinez,0.0303,Rodriguez,0.01266,Flores,0.02128,Munoz,0.016129,Martinez,0.014493,Sanchez,0.011905,Benitez,0.027027,Flores,0.01124,Gonzalez,0.02173913,Rodriguez,0.025641
Martinez,0.027027,Diaz,0.030303,Perez,0.038462,Martinez,0.016393,Jimenez,0.01887,Garcia,0.025641,Martinez,0.026316,Garcia,0.02439,Sanchez,0.01786,Lopez,0.02273,Gomez,0.01149,Quispe,0.01961,Rojas,0.011765,Garcia,0.013514,Zambrano,0.010526,Martinez,0.023256,Sanchez,0.0099,Martinez,0.015625,Perez,0.018519
Lopez,0.025,Rodriguez,0.028571,Hernandez,0.033333,Garcia,0.015625,Mora,0.01852,Hernandez,0.022727,Rodriguez,0.023256,Gonzalez,0.02381,Martinez,0.01695,Garcia,0.02128,Fernandez,0.01075,Choque,0.01316,Diaz,0.011494,Gomez,0.013333,Lopez,0.010101,Lopez,0.017857,Garcia,0.00952,Fernandez,0.013513514,Hernandez,0.017544
Gonzalez,0.022727,Narvaez,0.02,Garcia,0.026316,Sanchez,0.013699,Rojas,0.01695,Morales,0.017241,Garcia,0.020833,Hernandez,0.02326,Castillo,0.01639,Rodriguez,0.01724,Lopez,0.01042,Vargas,0.01299,Perez,0.009091,Lopez,0.013333,Rodriguez,0.009346,Gimenez,0.012821,Rodriguez,0.00926,Perez,0.0125,Garcia,0.016129
Perez,0.019608,Burgos,0.019231,Martinez,0.020408,Ramirez,0.0125,Gonzalez,0.01587,Ramirez,0.016393,Mejia,0.018868,Perez,0.01923,Perez,0.01493,Flores,0.01695,Diaz,0.00926,Condori,0.0119,Soto,0.008197,Gonzalez,0.012346,Vera,0.007042,Vera,0.011905,Rojas,0.00901,Garcia,0.011764706,Martinez,0.012987
Rodriguez,0.019231,Colon,0.018182,Diaz,0.018868,Diaz,0.012048,Sanchez,0.01389,Gomez,0.016393,Cruz,0.014925,Rodriguez,0.01667,Abrego,0.01075,Perez,0.01667,Martinez,0.00893,Rodriguez,0.01149,Contreras,0.007813,Hernandez,0.012048,Gonzalez,0.005848,Duarte,0.011494,Huaman,0.0087,Silva,0.01010101,Sanchez,0.012048
Sanchez,0.018182,Vazquez,0.017544,Lopez,0.016129,Gonzalez,0.011765,Hernandez,0.01389,Gonzalez,0.014706,Flores,0.014925,Gutierrez,0.01408,Hernandez,0.01042,Ramirez,0.01538,Perez,0.00775,Rojas,0.01053,Silva,0.007353,Sanchez,0.011765,Torres,0.00578,Ramirez,0.011364,Mamani,0.00847,Lopez,0.009259259,Lopez,0.011364
Ramirez,0.016129,Ramos,0.016949,Fernandez,0.015625,Reyes,0.011494,Ramirez,0.01389,Martinez,0.012987,Sanchez,0.014085,Sanchez,0.01351,Garcia,0.00971,Gonzalez,0.01493,Garcia,0.00746,Gutierrez,0.01042,Martinez,0.007042,Perez,0.011236,Mendoza,0.004902,Villalba,0.011236,Vasquez,0.00787,Pereira,0.007936508,Diaz,0.010417
Cruz,0.011905,Ortiz,0.016949,Sanchez,0.014925,Hernandez,0.01087,Castro,0.01075,Vasquez,0.011905,Reyes,0.013889,Espinoza,0.01149,Morales,0.00935,Vasquez,0.0137,Sanchez,0.00719,Lopez,0.00962,Sepulveda,0.006993,Ramirez,0.010526,Castro,0.004854,Fernandez,0.010989,Ramos,0.00775,Sosa,0.007575758,Rojas,0.009709
