Code,Type,Name,County
32003,Non-Unique,Fleming Island,Clay
32004,PO Box,Ponte Vedra Beach,Saint Johns
32006,PO Box,Fleming Island,Clay
32007,PO Box,Bostwick,Putnam
32008,Non-Unique,Branford,Lafayette
32009,Non-Unique,Bryceville,Nassau
32011,Non-Unique,Callahan,Nassau
32024,Non-Unique,Lake City,Columbia
32025,Non-Unique,Lake City,Columbia
32026,Unique,Raiford,Bradford
32030,PO Box,Doctors Inlet,Clay
32033,Non-Unique,Elkton,Saint Johns
32034,Non-Unique,Fernandina Beach,Nassau
32035,PO Box,Fernandina Beach,Nassau
32038,Non-Unique,Fort White,Columbia
32040,Non-Unique,Glen Saint Mary,Baker
32041,PO Box,Yulee,Nassau
32042,PO Box,Graham,Bradford
32043,Non-Unique,Green Cove Springs,Clay
,,,
32044,Non-Unique,Hampton,Bradford
32046,Non-Unique,Hilliard,Nassau
32050,PO Box,Middleburg,Clay
32052,Non-Unique,Jasper,Hamilton
32053,Non-Unique,Jennings,Hamilton
32054,Non-Unique,Lake Butler,Union
32055,Non-Unique,Lake City,Columbia
32056,PO Box,Lake City,Columbia
32058,Non-Unique,Lawtey,Bradford
32059,Non-Unique,Lee,Madison
32060,Non-Unique,Live Oak,Suwannee
32061,Non-Unique,Lulu,Columbia
32062,Non-Unique,McAlpin,Suwannee
32063,Non-Unique,Macclenny,Baker
32064,Non-Unique,Live Oak,Suwannee
32065,Non-Unique,Orange Park,Clay
32066,Non-Unique,Mayo,Lafayette
32067,PO Box,Orange Park,Clay
32068,Non-Unique,Middleburg,Clay
32071,Non-Unique,O'Brien,Suwannee
,,,
32072,PO Box,Olustee,Baker
32073,Non-Unique,Orange Park,Clay
32079,PO Box,Penney Farms,Clay
32080,Non-Unique,Saint Augustine,Saint Johns
32081,Non-Unique,Ponte Vedra,Saint Johns
32082,Non-Unique,Ponte Vedra Beach,Saint Johns
32083,Non-Unique,Raiford,Union
32084,Non-Unique,Saint Augustine,Saint Johns
32085,PO Box,Saint Augustine,Saint Johns
32086,Non-Unique,Saint Augustine,Saint Johns
32087,Non-Unique,Sanderson,Baker
32091,Non-Unique,Starke,Bradford
32092,Non-Unique,Saint Augustine,Saint Johns
32094,Non-Unique,Wellborn,Suwannee
32095,Non-Unique,Saint Augustine,Saint Johns
32096,Non-Unique,White Springs,Hamilton
32097,Non-Unique,Yulee,Nassau
32102,Non-Unique,Astor,Lake
32105,PO Box,Barberville,Volusia
32110,Non-Unique,Bunnell,Flagler
32111,PO Box,Candler,Marion
32112,Non-Unique,Crescent City,Putnam
32113,Non-Unique,Citra,Marion
32114,Non-Unique,Daytona Beach,Volusia
32115,PO Box,Daytona Beach,Volusia
32116,PO Box,Daytona Beach,Volusia
32117,Non-Unique,Daytona Beach,Volusia
32118,Non-Unique,Daytona Beach,Volusia
32119,Non-Unique,Daytona Beach,Volusia
